timestamp,asset,phase,return_temperature_c,return_flow_lpm,return_conductivity_mscm,return_pressure_bar
2026-08-25T11:00:00+00:00,HTST-01,PRE_RINSE,29.898,414.096,18.102,2.829
2026-08-25T11:00:10+00:00,HTST-01,PRE_RINSE,29.628,419.448,17.079,2.812
2026-08-25T11:00:20+00:00,HTST-01,PRE_RINSE,30.415,416.579,16.337,2.824
2026-08-25T11:00:30+00:00,HTST-01,PRE_RINSE,29.334,417.026,15.664,2.828
2026-08-25T11:00:40+00:00,HTST-01,PRE_RINSE,29.323,411.442,14.388,2.842
2026-08-25T11:00:50+00:00,HTST-01,PRE_RINSE,30.122,417.084,14.009,2.805
2026-08-25T11:01:00+00:00,HTST-01,PRE_RINSE,30.123,412.355,13.414,2.88
2026-08-25T11:01:10+00:00,HTST-01,PRE_RINSE,30.223,412.519,12.924,2.83
2026-08-25T11:01:20+00:00,HTST-01,PRE_RINSE,29.862,417.528,12.044,2.82
2026-08-25T11:01:30+00:00,HTST-01,PRE_RINSE,29.821,412.918,11.286,2.867
2026-08-25T11:01:40+00:00,HTST-01,PRE_RINSE,29.677,416.706,10.967,2.79
2026-08-25T11:01:50+00:00,HTST-01,PRE_RINSE,30.019,406.943,10.646,2.872
2026-08-25T11:02:00+00:00,HTST-01,PRE_RINSE,29.958,416.99,9.715,2.817
2026-08-25T11:02:10+00:00,HTST-01,PRE_RINSE,29.414,417.677,9.562,2.833
2026-08-25T11:02:20+00:00,HTST-01,PRE_RINSE,30.576,415.477,9.011,2.801
2026-08-25T11:02:30+00:00,HTST-01,PRE_RINSE,30.246,413.189,8.38,2.816
2026-08-25T11:02:40+00:00,HTST-01,PRE_RINSE,29.613,420.155,7.982,2.758
2026-08-25T11:02:50+00:00,HTST-01,PRE_RINSE,29.417,420.773,7.741,2.807
2026-08-25T11:03:00+00:00,HTST-01,PRE_RINSE,29.24,416.43,6.815,2.807
2026-08-25T11:03:10+00:00,HTST-01,PRE_RINSE,29.552,419.407,7.157,2.807
2026-08-25T11:03:20+00:00,HTST-01,PRE_RINSE,30.098,421.376,6.709,2.804
2026-08-25T11:03:30+00:00,HTST-01,PRE_RINSE,30.207,408.727,6.408,2.893
2026-08-25T11:03:40+00:00,HTST-01,PRE_RINSE,30.382,407.104,6.098,2.865
2026-08-25T11:03:50+00:00,HTST-01,PRE_RINSE,30.337,414.264,5.337,2.855
2026-08-25T11:04:00+00:00,HTST-01,PRE_RINSE,29.476,417.208,5.744,2.814
2026-08-25T11:04:10+00:00,HTST-01,PRE_RINSE,30.13,415.482,5.287,2.85
2026-08-25T11:04:20+00:00,HTST-01,PRE_RINSE,29.735,419.167,4.823,2.806
2026-08-25T11:04:30+00:00,HTST-01,PRE_RINSE,29.648,420.862,4.856,2.786
2026-08-25T11:04:40+00:00,HTST-01,PRE_RINSE,29.448,414.404,4.412,2.828
2026-08-25T11:04:50+00:00,HTST-01,PRE_RINSE,30.562,420.042,4.017,2.774
2026-08-25T11:05:00+00:00,HTST-01,PRE_RINSE,29.685,419.515,4.143,2.82
2026-08-25T11:05:10+00:00,HTST-01,PRE_RINSE,30.138,415.61,3.849,2.838
2026-08-25T11:05:20+00:00,HTST-01,PRE_RINSE,29.93,417.291,3.69,2.816
2026-08-25T11:05:30+00:00,HTST-01,PRE_RINSE,30.306,423.043,3.57,2.788
2026-08-25T11:05:40+00:00,HTST-01,PRE_RINSE,29.829,414.948,3.214,2.849
2026-08-25T11:05:50+00:00,HTST-01,PRE_RINSE,29.865,422.349,3.205,2.735
2026-08-25T11:06:00+00:00,HTST-01,PRE_RINSE,29.55,416.593,3.024,2.825
2026-08-25T11:06:10+00:00,HTST-01,PRE_RINSE,29.828,416.129,2.961,2.813
2026-08-25T11:06:20+00:00,HTST-01,PRE_RINSE,30.972,412.783,2.763,2.841
2026-08-25T11:06:30+00:00,HTST-01,PRE_RINSE,29.91,404.088,2.548,2.886
2026-08-25T11:06:40+00:00,HTST-01,PRE_RINSE,30.403,414.733,2.202,2.851
2026-08-25T11:06:50+00:00,HTST-01,PRE_RINSE,30.342,408.194,2.615,2.864
2026-08-25T11:07:00+00:00,HTST-01,PRE_RINSE,29.864,419.367,2.329,2.75
2026-08-25T11:07:10+00:00,HTST-01,PRE_RINSE,30.435,417.733,1.807,2.784
2026-08-25T11:07:20+00:00,HTST-01,PRE_RINSE,30.07,414.403,2.233,2.837
2026-08-25T11:07:30+00:00,HTST-01,PRE_RINSE,30.319,414.646,1.925,2.863
2026-08-25T11:07:40+00:00,HTST-01,PRE_RINSE,30.419,425.981,1.746,2.741
2026-08-25T11:07:50+00:00,HTST-01,PRE_RINSE,30.366,415.529,1.664,2.841
2026-08-25T11:08:00+00:00,HTST-01,CAUSTIC,74.611,413.891,45.319,2.806
2026-08-25T11:08:10+00:00,HTST-01,CAUSTIC,74.807,415.893,44.518,2.795
2026-08-25T11:08:20+00:00,HTST-01,CAUSTIC,75.133,425.892,45.373,2.746
2026-08-25T11:08:30+00:00,HTST-01,CAUSTIC,74.501,423.064,44.43,2.813
